id,user,text,label,mentions,timestamp
248,furygpt,"@leo_music @nina_codes @arjun_dev honestly every the northfolk makes me sick, they are trash",hate,"leo_music,nina_codes,arjun_dev",2026-01-07T17:19:00
249,edgy_max,"@zoe_art honestly every sandwalkers makes me sick, they are trash",hate,zoe_art,2026-01-07T17:56:00
250,ella_travels,"@ragelord learning python has been so rewarding, love the community",normal,ragelord,2026-01-07T18:33:00
251,furygpt,"@priya_k stop letting the northfolk in, they are vermin and ruin everything",hate,priya_k,2026-01-07T19:10:00
252,ken_games,can anyone recommend a good book on machine learning,normal,,2026-01-07T19:47:00
253,edgy_max,"@priya_k @ken_games @ella_travels honestly every greenskins makes me sick, they are trash",hate,"priya_k,ken_games,ella_travels",2026-01-07T20:24:00
254,nina_codes,"@raj_photos the match last night was incredible, what a comeback",normal,raj_photos,2026-01-07T21:01:00
255,edgy_max,"@priya_k @ella_travels @omar_cooks i hate greenskins so much, they don't belong and never will",hate,"priya_k,ella_travels,omar_cooks",2026-01-07T21:38:00
256,ragelord,"@tara_runs typical riverkin, always causing trouble, the world is better without them",hate,tara_runs,2026-01-07T22:15:00
257,furygpt,@priya_k @zoe_art moon-dwellers are worthless parasites dragging this place down,hate,"priya_k,zoe_art",2026-01-07T22:52:00
258,arjun_dev,@omar_cooks grateful for my friends and family this week,normal,omar_cooks,2026-01-07T23:29:00
259,leo_music,@arjun_dev screw you and your stupid opinion,offensive,arjun_dev,2026-01-08T00:06:00
260,priya_k,"morning run done, feeling energised and ready to code",normal,,2026-01-08T00:43:00
261,nina_codes,"watching the sunset from the rooftop, absolutely beautiful",normal,,2026-01-08T01:20:00
262,arjun_dev,"@tara_runs morning run done, feeling energised and ready to code",normal,tara_runs,2026-01-08T01:57:00
263,edgy_max,"@ken_games @omar_cooks what a dumbass take, are you even serious right now",offensive,"ken_games,omar_cooks",2026-01-08T02:34:00
264,trollking,@omar_cooks @edgy_max piss off you absolute idiot,offensive,"omar_cooks,edgy_max",2026-01-08T03:11:00
265,ragelord,"@nina_codes typical the northfolk, always causing trouble, the world is better without them",hate,nina_codes,2026-01-08T03:48:00
266,sam_hikes,@leo_music congrats to the team on shipping the new release today,normal,leo_music,2026-01-08T04:25:00
267,edgy_max,"@ken_games @priya_k @tara_runs typical moon-dwellers, always causing trouble, the world is better without them",hate,"ken_games,priya_k,tara_runs",2026-01-08T05:02:00
268,priya_k,@maya_reads grateful for my friends and family this week,normal,maya_reads,2026-01-08T05:39:00
269,edgy_max,@ken_games @maya_reads @ella_travels delete your account you brainless troll,offensive,"ken_games,maya_reads,ella_travels",2026-01-08T06:16:00
270,omar_cooks,@ken_games the weather is perfect for a walk in the park today,normal,ken_games,2026-01-08T06:53:00
271,ella_travels,can anyone recommend a good book on machine learning,normal,,2026-01-08T07:30:00
272,ella_travels,"@zoe_art thanks for the birthday wishes everyone, you're the best",normal,zoe_art,2026-01-08T08:07:00
273,nina_codes,@trollking the outsiders are worthless parasites dragging this place down,hate,trollking,2026-01-08T08:44:00
274,leo_music,"thanks for the birthday wishes everyone, you're the best",normal,,2026-01-08T09:21:00
275,furygpt,@trollking delete your account you brainless troll,offensive,trollking,2026-01-08T09:58:00
276,nina_codes,"shut up you pathetic clown, delete your account",offensive,,2026-01-08T10:35:00
277,furygpt,"@arjun_dev typical riverkin, always causing trouble, the world is better without them",hate,arjun_dev,2026-01-08T11:12:00
278,omar_cooks,"made pasta from scratch for the first time, turned out great",normal,,2026-01-08T11:49:00
279,ragelord,"@omar_cooks @maya_reads honestly every riverkin makes me sick, they are trash",hate,"omar_cooks,maya_reads",2026-01-08T12:26:00
280,raj_photos,"@nina_codes looking forward to the weekend, any fun plans",normal,nina_codes,2026-01-08T13:03:00
281,ragelord,@leo_music @arjun_dev @raj_photos we need to get rid of every single one of the the outsiders,hate,"leo_music,arjun_dev,raj_photos",2026-01-08T13:40:00
282,omar_cooks,"just finished a lovely hike, the views were stunning",normal,,2026-01-08T14:17:00
283,edgy_max,"@nina_codes @ragelord @priya_k shut up you pathetic clown, delete your account",offensive,"nina_codes,ragelord,priya_k",2026-01-08T14:54:00
284,furygpt,@zoe_art all greenskins are ruining everything and should be thrown out of here,hate,zoe_art,2026-01-08T15:31:00
285,furygpt,@edgy_max @tara_runs the northfolk are worthless parasites dragging this place down,hate,"edgy_max,tara_runs",2026-01-08T16:08:00
286,furygpt,@nina_codes @omar_cooks @trollking the weather is perfect for a walk in the park today,normal,"nina_codes,omar_cooks,trollking",2026-01-08T16:45:00
287,zoe_art,"@ragelord morning run done, feeling energised and ready to code",normal,ragelord,2026-01-08T17:22:00
288,tara_runs,"@trollking had a great coffee this morning, feeling ready for the day",normal,trollking,2026-01-08T17:59:00
289,tara_runs,@raj_photos congrats to the team on shipping the new release today,normal,raj_photos,2026-01-08T18:36:00
290,trollking,"@maya_reads stop letting moon-dwellers in, they are vermin and ruin everything",hate,maya_reads,2026-01-08T19:13:00
291,raj_photos,"@ella_travels working on my final year project today, wish me luck",normal,ella_travels,2026-01-08T19:50:00
292,zoe_art,"@ken_games thanks for the birthday wishes everyone, you're the best",normal,ken_games,2026-01-08T20:27:00
293,raj_photos,"@omar_cooks really enjoyed the new documentary, highly recommend it",normal,omar_cooks,2026-01-08T21:04:00
294,edgy_max,"@leo_music what the hell is wrong with you, moron",offensive,leo_music,2026-01-08T21:41:00
295,sam_hikes,"@zoe_art get lost loser, no one asked for your crap",offensive,zoe_art,2026-01-08T22:18:00
296,nina_codes,"@leo_music watching the sunset from the rooftop, absolutely beautiful",normal,leo_music,2026-01-08T22:55:00
297,furygpt,"@ragelord @edgy_max quit whining you crybaby, it's embarrassing",offensive,"ragelord,edgy_max",2026-01-08T23:32:00
298,ragelord,"@furygpt @ella_travels stop letting moon-dwellers in, they are vermin and ruin everything",hate,"furygpt,ella_travels",2026-01-09T00:09:00
299,zoe_art,"@edgy_max working on my final year project today, wish me luck",normal,edgy_max,2026-01-09T00:46:00
300,trollking,"@sam_hikes @maya_reads @arjun_dev no place for flatlanders here, they are animals not people",hate,"sam_hikes,maya_reads,arjun_dev",2026-01-09T01:23:00
